Lag2,Direction
1.5719999999999998,0
0.816,0
-0.27,1
-2.576,1
3.514,1
0.7120000000000001,0
1.178,1
-1.3719999999999999,1
0.807,1
0.040999999999999995,0
1.253,0
-2.678,1
-1.7930000000000001,1
2.82,1
4.022,0
0.75,1
-0.017,0
2.42,1
-1.225,0
1.171,1
-2.061,1
0.7290000000000001,1
0.11199999999999999,0
2.48,0
-1.5519999999999998,0
-2.259,0
-2.428,0
-2.708,0
-2.292,1
-4.978,1
3.5469999999999997,0
0.26,0
-2.032,0
-1.739,1
-1.693,0
1.781,1
-3.682,0
4.15,1
-2.487,1
2.343,1
0.606,0
1.077,1
-0.637,1
2.26,0
1.716,1
-0.284,0
1.508,0
-0.9129999999999999,0
-2.349,1
-1.798,1
5.393,1
1.156,1
2.077,1
4.751,0
2.702,1
-0.924,1
1.318,0
1.209,0
-0.363,1
-1.635,1
2.106,1
0.037000000000000005,1
1.3430000000000002,0
0.9990000000000001,1
-1.348,0
0.47,0
-1.329,1
-0.892,1
1.37,0
3.2689999999999997,1
-2.668,0
0.754,0
-1.188,1
-1.745,1
0.787,1
1.649,0
1.044,1
-0.856,0
1.641,0
-0.015,1
-0.39799999999999996,1
2.228,0
0.32,0
-1.601,1
-1.416,0
1.129,0
-0.521,1
-1.205,1
0.052000000000000005,0
2.897,1
-2.115,1
1.8530000000000002,0
0.401,0
-2.614,0
-1.694,1
-0.245,1
1.034,1
1.4169999999999998,1
0.6679999999999999,1
5.018,0
3.1689999999999996,1
-1.011,0
0.9059999999999999,0
-0.807,1
-1.6130000000000002,1
0.565,0
0.33799999999999997,1
-0.255,0
0.309,1
-2.001,1
0.34600000000000003,0
1.345,0
-1.896,1
-0.483,1
0.682,0
2.906,1
-1.6869999999999998,1
0.858,0
0.853,1
-1.433,1
0.958,0
0.321,0
-0.45,0
-0.9,0
-1.486,1
-0.054000000000000006,1
2.062,1
0.6920000000000001,0
0.24100000000000002,1
-0.9670000000000001,0
3.0639999999999996,1
-1.256,0
0.24600000000000002,0
-1.205,1
-0.002,1
0.54,1
0.599,0
0.7979999999999999,0
-2.029,0
-0.9359999999999999,1
-1.903,1
2.253,1
0.5760000000000001,0
1.1059999999999999,1
-0.263,1
1.161,1
0.9990000000000001,1
0.823,1
0.442,1
0.387,0
1.7409999999999999,0
-0.342,0
-0.9229999999999999,1
-1.5290000000000001,0
1.8880000000000001,1
-0.23800000000000002,1
0.612,0
2.313,0
-0.9690000000000001,1
-2.33,1
2.11,1
0.616,1
0.8340000000000001,0
0.078,0
-0.5329999999999999,1
-1.4269999999999998,1
0.102,0
1.607,1
-2.653,1
0.723,0
0.48200000000000004,1
-0.622,1
1.429,0
0.976,0
-0.028999999999999998,0
-0.622,1
-0.8,0
0.884,1
-0.39299999999999996,0
0.509,1
-0.527,1
0.303,1
0.23,1
0.12300000000000001,1
0.325,1
1.337,1
0.96,1
0.174,0
0.08199999999999999,0
-0.626,1
-0.262,0
0.7979999999999999,1
-0.21,0
1.996,1
-1.327,0
0.9840000000000001,1
-1.766,0
1.266,1
-0.599,1
0.099,0
0.395,1
-0.207,1
0.528,0
0.214,1
-0.19899999999999998,1
0.74,0
1.0659999999999998,1
-0.04,0
0.838,1
-1.857,0
0.079,0
-0.53,0
-0.34600000000000003,1
-0.285,1
0.366,0
0.99,0
-2.225,1
-3.216,0
0.298,1
-0.20600000000000002,1
0.325,0
0.733,0
-0.685,1
-0.8220000000000001,1
2.427,1
0.53,0
0.612,0
-0.317,0
-0.048,1
-3.4139999999999997,1
0.768,1
0.7509999999999999,0
1.025,1
-0.231,0
1.137,1
-0.255,1
1.061,1
0.377,0
2.1830000000000003,0
-0.593,1
-0.597,0
0.643,1
-2.445,0
0.6609999999999999,1
-1.645,0
3.076,1
-0.897,0
1.91,1
-2.425,0
0.015,0
-0.19,1
-1.989,0
0.223,1
-1.399,1
2.6489999999999996,0
0.22399999999999998,1
-0.122,1
0.307,0
1.148,1
-0.255,1
1.207,1
1.756,1
0.5870000000000001,1
0.106,0
1.274,1
-0.551,1
0.855,1
1.215,0
1.1,1
-0.052000000000000005,1
1.14,0
0.555,1
-0.145,1
1.2229999999999999,1
1.051,0
